uid,year,region,service_state,grantee_name,grant_number,grant_type,program_name,program_number,program_type,total_cumulative_enrollment,total_cumulative_enrolled_children,newly_enrolled_children,less_than_1_year_old,x1_year_old,x2_years_old,x3_years_old,x4_years_old,x5_years_and_older,pregnant_women,income_eligibility,receipt_of_public_assistance_eligibility,foster_children_eligibility,homeless_children_eligibility,over_income_eligibility,income_between_100_percent_and_130_percent_of_poverty_eligibility,hispanic_or_latino_origin_any_race_enrollees,asian_non_hispanic_enrollees,black_or_african_american_non_hispanic_enrollees,native_hawaiian_pacific_islander_non_hispanic_enrollees,white_non_hispanic_enrollees,biracial_or_multi_racial_non_hispanic_enrollees,other_race_non_hispanic_enrollees,total_noncontracted_staff,total_contracted_staff,total_departed_staff,total_departed_noncontracted_staff,total_departed_contracted_staff,total_hs_prek_teachers,total_ehs_it_teachers,total_departed_teachers,children_with_health_insurance_at_enrollment,children_with_health_insurance_at_end_of_enrollment_year,children_with_ongoing_source_of_continuous_accessible_health_care_at_enrollment_start,children_with_ongoing_source_of_continuous_accessible_health_care_at_end_enrollment,children_up_to_date_on_epdst_at_enrollment_start,children_up_to_date_on_epdst_at_enrollment_end,hs_prek_children_with_an_iep,ehs_it_children_with_an_iep,hs_prek_health_impairment,hs_prek_emotional_disturbance,hs_prek_speech_impairment,hs_prek_intellectual_disabilities,hs_prek_hearing_impairment,hs_prek_orthopedic_impairment,hs_prek_visual_impairment,hs_prek_specific_learning_disabilities,hs_prek_autism,hs_prek_traumatic_brain_injury,hs_prek_non_categorical_developmental_delay,hs_prek_multiple_disabilities_excluding_deaf_blind,hs_prek_deaf_blind,newly_enrolled_children_who_completed_behavorial_screenings,homeless_children_served,foster_care_children_served
09CH9193-200-2019,2019,Region 9,CA,Modoc County Office of Education,09CH9193,CH,Modoc County Office of Education,200,EHS,178,145,49,68,36,24,17,0,0,33,114,21,2,15,16,10,106,0,0,1,64,6,0,22,0,6,6,0,NA,0,0,140,139,145,143,114,53,NA,10,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,26,12,2
09CH9194-200-2019,2019,Region 9,CA,Lake Family Resource Center,09CH9194,CH,Lake Family Resource Center,200,EHS,126,114,51,30,37,40,7,0,0,12,59,26,10,16,3,12,32,0,1,0,73,13,0,29,0,4,4,0,NA,6,0,112,112,103,104,62,103,NA,17,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,41,17,12
09CH9950-000-2019,2019,Region 9,CA,Madera County Board of Supervisors/CAPMC,09CH9950,CH,Community Action Partnership of Madera County,000,HS,338,338,247,0,0,6,147,185,0,0,245,57,4,0,32,0,261,2,9,0,53,0,3,73,1,10,10,0,13,NA,2,337,338,338,338,111,316,37,NA,0,0,35,0,1,0,0,0,1,0,0,0,0,226,1,7
09CH9950-200-2019,2019,Region 9,CA,Madera County Board of Supervisors/CAPMC,09CH9950,CH,"COMMUNITY ACTION PARTNERSHIP OF MADERA COUNTY, INC.",200,EHS,74,67,27,26,22,15,4,0,0,7,62,9,2,0,1,0,65,1,0,0,7,0,0,16,0,1,1,0,NA,0,0,67,67,67,67,14,47,NA,6,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,22,0,2
09CH9963-200-2019,2019,Region 9,CA,Siskiyou County Office of Education,09CH9963,CH,Siskiyou Early Head Start,200,EHS,145,131,50,36,42,36,17,0,0,14,51,51,16,15,12,0,18,1,0,0,78,36,1,21,2,4,4,0,NA,6,1,128,130,115,129,40,52,NA,25,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,50,16,11
09CH9972-000-2019,2019,Region 9,CA,"North Coast Opportunities, Inc.",09CH9972,CH,"North Coast Opportunties, Inc.",000,HS,309,309,183,0,0,11,124,174,0,0,151,63,11,58,26,0,163,6,2,0,102,14,5,118,0,21,21,0,16,NA,2,309,309,308,309,176,306,44,NA,0,0,34,3,0,0,1,0,6,0,0,0,0,162,31,12
09CH9972-200-2019,2019,Region 9,CA,"North Coast Opportunities, Inc.",09CH9972,CH,"North Coast Opportunities, Inc.",200,EHS,119,117,64,14,33,63,7,0,0,2,58,14,4,37,6,0,74,1,0,0,35,2,4,61,0,8,8,0,NA,18,3,117,117,117,117,68,116,NA,13,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,59,17,4
09CH9995-000-2019,2019,Region 9,CA,"Child Care Resource Center, Inc.",09CH9995,CH,Child Care Resource Center,000,HS,810,810,589,0,0,83,415,311,1,0,493,76,23,12,57,149,660,32,21,0,81,6,6,165,0,14,14,0,29,NA,6,803,809,810,810,455,756,195,NA,4,0,162,2,1,1,0,0,25,0,0,0,0,538,6,22
09CH9995-200-2019,2019,Region 9,CA,"Child Care Resource Center, Inc.",09CH9995,CH,Child Care Resource Center,200,EHS,30,30,22,0,15,15,0,0,0,0,18,2,2,1,1,6,25,0,4,0,1,0,0,40,0,1,1,0,NA,6,1,30,30,30,30,18,30,NA,13,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,21,2,2
09CH9998-000-2019,2019,Region 9,CA,Volunteers of America of Los Angeles,09CH9998,CH,Volunteers of America of Los Angeles San Fernando,000,HS,517,517,317,0,0,0,293,224,0,0,342,50,9,3,48,65,466,10,16,0,25,0,0,75,2,4,4,0,24,NA,5,513,512,513,513,243,456,87,NA,0,0,80,0,1,0,1,1,4,0,0,0,0,262,4,12
09CH9998-200-2019,2019,Region 9,CA,Volunteers of America of Los Angeles,09CH9998,CH,Volunteers of America of Los Angeles,200,EHS,131,131,78,32,46,52,1,0,0,0,90,6,9,1,12,13,121,0,4,0,5,0,1,21,2,0,0,0,NA,4,1,130,130,126,126,5,111,NA,13,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,35,2,9
09HP0001-200-2019,2019,Region 9,CA,"San Bernardino, County of",09HP0001,HP,County of San Bernardino Board of Supervisors,200,EHS,175,175,61,30,58,56,30,1,0,0,84,62,18,4,3,4,107,1,30,0,19,15,1,80,2,13,13,0,NA,9,3,175,175,175,175,35,86,0,11,0,0,0,0,0,0,0,0,0,0,0,0,0,25,6,19
09HP000103-200-2019,2019,Region 9,CA,"Crystal Stairs, Inc.",09HP000103,HP,"Crystal Stairs, Inc.",200,EHS,139,139,69,24,37,42,32,4,0,0,55,29,9,17,14,15,68,0,68,0,0,1,2,33,36,5,5,0,NA,6,0,139,139,139,139,25,117,9,9,1,0,5,1,0,0,0,0,2,0,0,0,0,69,16,10
09HP000106-200-2019,2019,Region 9,CA,"Kidango, Inc.",09HP000106,HP,"Kidango, Inc.",200,EHS,239,239,134,21,115,103,0,0,0,0,159,15,3,16,12,34,173,24,7,0,32,1,1,85,0,8,8,0,NA,38,4,239,239,239,239,195,210,0,34,0,0,0,0,0,0,0,0,0,0,0,0,0,91,16,7
09HP000111-200-2019,2019,Region 9,CA,Contra Costa County Community Services,09HP000111,HP,CONTRA COSTA COUNTY,200,EHS,259,259,130,38,69,152,0,0,0,0,108,74,10,9,25,33,104,11,113,0,14,17,0,1112,5,87,87,0,NA,65,1,254,256,254,256,86,178,6,28,0,0,5,0,0,0,0,0,1,0,0,0,0,122,11,3
09HP000114-200-2019,2019,Region 9,CA,"Plaza Community Center, Inc.",09HP000114,HP,"Plaza Community Center, Inc.",200,EHS,222,222,110,25,57,83,48,9,0,0,133,45,11,13,17,3,194,0,20,0,0,2,4,118,1,13,13,0,NA,3,0,180,169,174,182,30,86,12,32,0,0,0,0,0,0,0,0,0,0,0,0,0,75,21,12
09HP000115-200-2019,2019,Region 9,CA,Los Angeles Universal Preschool,09HP000115,HP,Los Angeles Universal Preschool,200,EHS,171,171,147,23,80,68,0,0,0,0,88,20,10,14,11,28,118,0,37,0,12,4,0,26,0,0,0,0,NA,26,3,171,171,169,169,1,65,0,16,0,0,0,0,0,0,0,0,0,0,0,0,0,104,10,27
09HP000116-200-2019,2019,Region 9,CA,Foothill Family Service,09HP000116,HP,Foothill Family Service,200,EHS,101,101,34,17,30,33,14,7,0,0,50,26,6,7,7,5,89,2,3,0,3,3,1,49,31,13,13,0,NA,18,0,100,100,100,100,24,41,0,13,0,0,0,0,0,0,0,0,0,0,0,0,0,29,5,7
09HP0002-201-2019,2019,Region 9,CA,Los Angeles County Office of Education,09HP0002,HP,Youth Policy Institute,201,EHS,130,130,51,19,41,63,7,0,0,0,74,10,8,5,9,24,114,3,3,0,6,3,1,42,4,35,34,1,NA,24,24,129,129,130,130,53,60,0,38,0,0,0,0,0,0,0,0,0,0,0,0,0,42,6,7
09HP0002-202-2019,2019,Region 9,CA,Los Angeles County Office of Education,09HP0002,HP,Plaza de la Raza Child Development Services,202,EHS,151,151,89,14,55,82,0,0,0,0,102,16,5,2,8,18,141,1,5,0,3,0,1,41,7,2,2,0,NA,22,2,150,151,148,147,76,91,0,24,0,0,0,0,0,0,0,0,0,0,0,0,0,86,2,7
09HP0002-203-2019,2019,Region 9,CA,Los Angeles County Office of Education,09HP0002,HP,Mexican American Opportunity Foundation,203,EHS,190,190,121,0,55,114,21,0,0,0,113,29,4,2,12,30,183,0,4,0,3,0,0,47,0,4,4,0,NA,30,3,190,190,187,189,84,171,0,33,0,0,0,0,0,0,0,0,0,0,0,0,0,116,2,5
09HP0002-204-2019,2019,Region 9,CA,Los Angeles County Office of Education,09HP0002,HP,Pomona Unified School District,204,EHS,128,128,70,59,36,32,1,0,0,0,106,11,3,0,2,6,100,0,9,0,19,0,0,30,0,2,2,0,NA,20,2,125,127,124,127,55,118,0,19,0,0,0,0,0,0,0,0,0,0,0,0,0,63,0,3
09HP0002-205-2019,2019,Region 9,CA,Los Angeles County Office of Education,09HP0002,HP,St. Anne's,205,EHS,125,125,61,34,42,49,0,0,0,0,72,16,8,26,0,3,98,5,20,0,2,0,0,53,0,5,5,0,NA,24,6,125,125,125,125,56,89,0,25,0,0,0,0,0,0,0,0,0,0,0,0,0,48,33,10
09HP0003-200-2019,2019,Region 9,CA,Volunteers of America of Los Angeles,09HP0003,HP,Volunteers of America of Los Angeles,200,EHS,202,202,202,14,50,83,55,0,0,0,136,27,2,2,12,23,196,1,2,1,2,0,0,33,0,0,0,0,NA,17,0,202,202,202,202,96,141,0,27,0,0,0,0,0,0,0,0,0,0,0,0,0,202,2,2
09HP0005-200-2019,2019,Region 9,CA,Foothill Family Service,09HP0005,HP,Foothill Family Service,200,EHS,158,158,54,19,33,53,47,6,0,0,89,26,10,9,11,13,150,5,1,0,2,0,0,48,38,16,15,1,NA,22,0,157,157,158,158,58,87,0,27,0,0,0,0,0,0,0,0,0,0,0,0,0,51,5,10
09HP0006-200-2019,2019,Region 9,CA,"Easter Seals Southern California, Inc.",09HP0006,HP,"Easter Seals Southern California, Inc.",200,EHS,261,261,147,65,66,106,24,0,0,0,219,8,5,7,22,0,238,1,4,0,17,1,0,65,3,10,10,0,NA,35,10,261,261,261,261,261,261,0,26,0,0,0,0,0,0,0,0,0,0,0,0,0,83,7,5
09HP0008-200-2019,2019,Region 9,CA,California Department of Education,09HP0008,HP,California Department of Education,200,EHS,368,368,163,55,105,133,71,4,0,0,185,68,42,6,33,34,113,9,9,3,162,43,0,27,109,10,1,9,NA,34,4,368,368,346,355,182,307,0,32,0,0,0,0,0,0,0,0,0,0,0,0,0,142,12,48
09HP0009-200-2019,2019,Region 9,CA,"Child Care Resource Center, Inc.",09HP0009,HP,"Child Care Resource Center, Inc.",200,EHS,235,235,132,49,64,94,23,5,0,0,113,38,42,6,17,19,158,0,44,0,29,1,3,67,25,15,10,5,NA,28,2,235,235,235,235,100,209,0,50,0,0,0,0,0,0,0,0,0,0,0,0,0,104,6,41
09HP0010-200-2019,2019,Region 9,CA,Vista Del Mar Child and Family Services,09HP0010,HP,Vista Del Mar Child and Family Services,200,EHS,164,164,75,17,41,61,45,0,0,0,79,24,12,5,14,30,118,22,8,0,9,4,0,19,24,7,3,4,NA,0,0,163,164,161,164,109,117,0,31,0,0,0,0,0,0,0,0,0,0,0,0,0,51,8,14
09HP0011-200-2019,2019,Region 9,CA,Merced County Superintendent of Schools,09HP0011,HP,Merced County Superintendent of Schools,200,EHS,156,156,82,13,29,64,50,0,0,0,90,44,0,3,8,11,110,2,8,1,24,5,5,48,35,27,25,2,NA,15,1,156,156,156,156,16,47,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,10,2,0
09HP0012-200-2019,2019,Region 9,CA,Contra Costa County Community Services,09HP0012,HP,Contra Costa County,200,EHS,94,94,36,16,22,36,18,2,0,0,39,27,11,0,8,9,36,1,49,1,2,5,0,538,5,93,93,0,NA,6,0,92,94,94,94,53,53,2,9,0,0,2,0,0,0,0,0,0,0,0,0,0,35,2,8
09HP0013-200-2019,2019,Region 9,CA,Community Child Care Council of Santa Clara,09HP0013,HP,Community Child Care Council of Santa Clara,200,EHS,335,335,113,55,77,121,76,6,0,0,230,31,2,14,21,37,292,14,7,2,11,5,2,18,54,5,4,1,NA,7,1,335,335,335,335,67,235,0,20,0,0,0,0,0,0,0,0,0,0,0,0,0,46,8,3
09HP0014-200-2019,2019,Region 9,CA,Dignity Health,09HP0014,HP,Dignity Health dba California Hospital Medical Center,200,EHS,35,35,21,8,7,12,8,0,0,0,22,8,1,4,0,0,35,0,0,0,0,0,0,13,9,0,0,0,NA,0,0,35,35,35,35,0,34,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,20,4,3
09HP0015-200-2019,2019,Region 9,CA,"Allies for Every Child, Inc",09HP0015,HP,Westside Childrens Center,200,EHS,64,64,35,5,13,31,14,1,0,0,40,2,5,5,5,7,51,0,3,0,3,0,1,18,8,0,0,0,NA,4,3,64,64,64,64,13,25,0,18,0,0,0,0,0,0,0,0,0,0,0,0,0,15,5,5
09HP0016-200-2019,2019,Region 9,CA,Alameda Family Services,09HP0016,HP,Alameda Family Services,200,EHS,22,22,9,0,8,12,2,0,0,0,12,3,0,0,2,5,5,8,2,0,3,4,0,23,7,10,3,7,NA,7,7,22,22,22,22,15,22,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,9,0,0
09HP0017-200-2019,2019,Region 9,CA,Metropolitan Area Advisory Committee On Anti-Poverty of San Diego County Inc.,09HP0017,HP,Metropolitan Area Advisory Committee,200,EHS,87,87,45,25,32,30,0,0,0,0,45,19,3,7,2,11,63,0,6,0,15,3,0,8,19,1,1,0,NA,11,0,87,87,87,87,29,76,0,13,0,0,0,0,0,0,0,0,0,0,0,0,0,42,9,7
09HP0018-200-2019,2019,Region 9,CA,Volunteers of America - Southwest Inc.,09HP0018,HP,Volunteers of America  - Southwest California Inc,200,EHS,145,145,71,16,51,61,17,0,0,0,75,16,12,38,4,0,103,0,30,0,5,6,1,39,0,8,8,0,NA,39,7,145,145,145,145,72,145,0,10,0,0,0,0,0,0,0,0,0,0,0,0,0,71,44,14
09HP0019-200-2019,2019,Region 9,CA,Pacific Clinics,09HP0019,HP,Pacific Clinics,200,EHS,126,126,60,11,47,49,19,0,0,0,64,12,12,17,5,16,68,15,15,0,5,10,13,32,0,2,2,0,NA,4,0,98,126,114,126,81,85,0,18,0,0,0,0,0,0,0,0,0,0,0,0,0,38,23,10
09HP0021-200-2019,2019,Region 9,CA,Sacramento Employment & Training Agency,09HP0021,HP,Sacramento Employment and Training Agency (SETA),200,EHS,81,81,78,2,44,35,0,0,0,0,58,14,1,0,7,1,25,5,38,0,4,2,2,52,0,0,0,0,NA,10,1,78,78,77,77,16,45,0,12,0,0,0,0,0,0,0,0,0,0,0,0,0,64,8,2
09HP0021-201-2019,2019,Region 9,CA,Sacramento Employment & Training Agency,09HP0021,HP,Sacramento City Unified School District,201,EHS,57,57,19,10,27,18,2,0,0,0,35,13,2,0,1,6,31,3,18,0,5,0,0,27,0,3,3,0,NA,10,3,57,57,57,57,13,18,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,16,0,2
09HP0022-200-2019,2019,Region 9,CA,"Child Development Resources of Ventura County, Inc.",09HP0022,HP,"Child Development Resources of Ventura County, Inc.",200,EHS,68,68,24,10,23,18,15,2,0,0,41,17,7,2,1,0,61,1,1,0,4,1,0,81,16,12,11,1,NA,3,2,68,68,65,68,36,58,0,15,0,0,0,0,0,0,0,0,0,0,0,0,0,21,1,4
09HP0023-200-2019,2019,Region 9,CA,"Kings Community Action Organization, Incorporated",09HP0023,HP,"Kings Community Action Organization, Inc.",200,EHS,141,141,54,21,39,33,40,8,0,0,90,10,10,14,1,16,125,1,5,0,10,0,0,27,18,8,7,1,NA,0,0,140,140,137,140,14,95,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,40,8,12
09HP0024-200-2019,2019,Region 9,CA,"Crystal Stairs, Inc.",09HP0024,HP,"Crystal Stairs, Inc.",200,EHS,152,152,67,26,41,44,32,9,0,0,69,28,15,10,10,20,74,0,72,2,2,2,0,40,35,5,5,0,NA,0,0,151,152,151,152,55,131,6,9,1,0,5,0,0,0,0,0,0,0,0,0,0,67,13,20
09HP0025-200-2019,2019,Region 9,CA,"Community Action Partnership of San Luis Obispo County, Inc.",09HP0025,HP,Community Action Partnership of San Luis Obispo County,200,EHS,228,228,101,37,64,106,21,0,0,0,130,14,2,27,15,40,225,0,0,0,3,0,0,75,5,5,5,0,NA,23,4,226,228,208,227,118,210,0,15,0,0,0,0,0,0,0,0,0,0,0,0,0,79,22,2
09HP0027-200-2019,2019,Region 9,CA,"Placer Community Action Council, Inc.",09HP0027,HP,"Placer Community Action Council, Inc.",200,EHS,139,139,53,24,25,47,40,3,0,0,99,21,4,2,0,13,58,0,4,0,68,9,0,32,28,2,1,1,NA,1,0,134,134,136,137,62,88,5,4,0,0,5,0,0,0,0,0,0,0,0,0,0,31,9,15
09HP0031-200-2019,2019,Region 9,CA,"Plaza Community Center, Inc.",09HP0031,HP,"Plaza Community Center, Inc.",200,EHS,292,292,141,27,62,117,80,6,0,0,205,38,16,7,10,16,266,0,9,0,0,0,3,55,0,8,8,0,NA,27,4,262,251,263,255,181,107,0,47,0,0,0,0,0,0,0,0,0,0,0,0,0,107,15,20
09HP0032-200-2019,2019,Region 9,CA,"Shasta County Head Start Child Development, Inc.",09HP0032,HP,"Shasta County Head Start Child Development, Inc.",200,EHS,40,40,10,2,9,16,12,1,0,0,10,10,6,8,0,6,6,0,0,0,26,7,1,45,6,2,2,0,NA,0,0,40,39,40,40,0,19,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,9,1,4
09HP0033-200-2019,2019,Region 9,CA,"Child Start, Inc.",09HP0033,HP,"Child Start, Inc.",200,EHS,111,111,78,31,41,37,2,0,0,0,48,21,3,25,3,11,21,1,31,2,5,10,0,16,30,5,2,3,NA,20,2,109,109,109,111,11,60,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,51,33,3
09HP0034-200-2019,2019,Region 9,CA,"Community Association for Preschool Education, Inc.",09HP0034,HP,"Community Association for Preschool Education, Inc.",200,EHS,136,136,51,37,55,41,3,0,0,0,82,22,0,8,8,16,61,9,34,3,8,4,5,47,2,1,1,0,NA,36,2,136,136,136,136,25,119,0,14,0,0,0,0,0,0,0,0,0,0,0,0,0,33,8,1
09HP0035-200-2019,2019,Region 9,CA,Young Men's Christian Association of the East Bay,09HP0035,HP,YMCA of the East Bay,200,EHS,144,144,53,36,55,52,1,0,0,0,85,23,7,7,9,13,63,3,67,0,5,3,2,162,0,28,28,0,NA,48,5,144,144,144,144,78,119,0,15,0,0,0,0,0,0,0,0,0,0,0,0,0,49,11,10
09HP0036-200-2019,2019,Region 9,CA,Community Action Partnership of Kern,09HP0036,HP,Community Action Partnership of Kern,200,EHS,122,122,70,15,48,50,9,0,0,0,91,20,1,1,9,0,79,0,16,0,26,0,0,21,0,1,1,0,NA,8,0,122,122,122,122,42,28,0,8,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,2
09HP0037-200-2019,2019,Region 9,CA,Stanislaus County Office of Education,09HP0037,HP,Stanislaus County Office of Education,200,EHS,47,47,18,8,8,15,14,2,0,0,27,7,3,7,1,2,38,0,2,0,6,0,0,5,10,0,0,0,NA,0,0,46,46,45,47,22,46,2,3,0,0,2,0,0,0,0,0,0,0,0,0,0,15,6,5
09HP0037-201-2019,2019,Region 9,CA,Stanislaus County Office of Education,09HP0037,HP,Family Resource & Referral Center,201,EHS,128,128,51,28,31,41,27,1,0,0,72,7,11,2,10,26,80,10,16,0,5,12,0,7,15,0,0,0,NA,0,0,126,122,125,125,82,117,6,21,0,0,4,1,0,0,0,0,1,0,0,0,0,43,2,13
09HP0037-202-2019,2019,Region 9,CA,Stanislaus County Office of Education,09HP0037,HP,Modesto City Schools,202,EHS,63,63,22,6,19,20,17,1,0,0,43,2,2,0,3,13,45,1,5,0,7,4,0,4,9,0,0,0,NA,0,0,61,61,61,61,32,59,2,7,0,0,1,0,1,0,0,0,0,0,0,0,0,17,0,2
09HP0038-200-2019,2019,Region 9,CA,Riverside County Office of Education,09HP0038,HP,Riverside County Office of Education,200,EHS,88,81,65,10,47,24,0,0,0,7,56,6,17,2,3,4,72,0,4,1,6,3,2,29,0,0,0,0,NA,14,1,76,78,75,77,15,27,0,13,0,0,0,0,0,0,0,0,0,0,0,0,0,40,2,19
09CH9160-000-2019,2019,Region 9,GU,Guam Public School System,09CH9160,CH,Guam Department of Education,000,HS,594,594,479,0,0,0,171,423,0,0,515,21,13,16,23,6,478,2,0,100,0,13,1,98,0,9,9,0,32,NA,1,564,570,594,594,184,593,54,NA,5,0,19,0,0,0,0,0,8,0,21,1,0,441,29,13
09CH010392-000-2019,2019,Region 9,HI,Parents and Children Together,09CH010392,CH,Parents And Children Together,000,HS,586,586,400,0,0,59,250,277,0,0,324,83,28,29,55,67,58,65,8,280,57,113,0,86,0,8,8,0,28,NA,7,584,584,586,586,404,500,47,NA,0,0,14,0,0,0,0,0,1,0,32,0,0,326,34,40
09CH010392-200-2019,2019,Region 9,HI,Parents and Children Together,09CH010392,CH,Parents And Children Together,200,EHS,397,384,214,112,136,136,0,0,0,13,242,42,24,43,19,27,46,53,1,191,17,88,1,73,2,12,12,0,NA,26,2,383,383,380,381,131,97,NA,35,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,108,44,27
09CH010893-200-2019,2019,Region 9,HI,Family Support Services of West Hawaii,09CH010893,CH,Family Support Services of West Hawaii,200,EHS,167,143,67,55,36,38,14,0,0,24,142,9,5,9,1,1,65,1,0,72,9,19,0,28,0,6,6,0,NA,4,1,143,143,134,143,89,119,NA,24,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,50,6,4
09CH10027-000-2019,2019,Region 9,HI,Child and Family Service,09CH10027,CH,Child & Family Service,000,HS,106,106,74,0,0,10,45,51,0,0,73,5,0,7,7,14,12,22,0,30,6,32,3,17,0,4,4,0,5,NA,3,106,105,106,106,22,92,19,NA,0,0,1,0,0,0,0,0,1,0,17,0,0,57,8,1
09CH10027-200-2019,2019,Region 9,HI,Child and Family Service,09CH10027,CH,CHILD AND FAMILY SERVICE,200,EHS,57,52,26,14,21,17,0,0,0,5,40,5,3,4,2,3,1,6,0,13,3,31,2,10,0,2,2,0,NA,0,0,52,52,52,49,6,2,NA,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,7,4
09CH9151-000-2019,2019,Region 9,HI,"Maui Economic Opportunity, Inc.",09CH9151,CH,"Maui Economic Opportunity, Inc.",000,HS,248,248,181,0,0,0,78,170,0,0,160,27,23,13,24,1,81,14,1,33,15,104,0,48,7,3,3,0,16,NA,0,248,248,247,247,184,214,36,NA,4,1,4,0,0,0,0,0,2,0,25,0,0,181,13,18
09CH9166-200-2019,2019,Region 9,HI,"Maui Family Support Services, Inc.",09CH9166,CH,"Maui Family Support Services, Inc.",200,EHS,194,183,84,80,54,49,0,0,0,11,103,17,8,54,4,8,36,9,3,110,8,26,0,40,2,2,2,0,NA,9,2,181,177,180,179,155,148,NA,21,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,35,51,9
09CH9189-000-2019,2019,Region 9,HI,Honolulu Community Action Program,09CH9189,CH,"Honolulu Community Action Program, Inc.",000,HS,1710,1710,1187,0,0,27,683,1000,0,0,1043,156,41,59,135,276,220,341,63,682,171,228,0,276,2,52,52,0,77,NA,8,1684,1686,1645,1707,1405,1688,173,NA,1,0,34,0,0,1,1,0,3,0,133,0,0,1119,62,50
09CH9189-200-2019,2019,Region 9,HI,Honolulu Community Action Program,09CH9189,CH,"Honolulu Community Action Program, Inc.",200,EHS,35,30,19,7,6,17,0,0,0,5,17,6,1,3,3,5,12,6,1,9,5,2,0,18,2,4,4,0,NA,0,0,30,30,25,30,22,28,NA,5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,19,2,1
09HP0026-200-2019,2019,Region 9,HI,Parents and Children Together,09HP0026,HP,Parents And Children Together,200,EHS,89,89,51,24,35,30,0,0,0,0,67,5,2,0,3,12,17,7,1,29,1,34,0,4,21,3,0,3,NA,21,3,89,89,89,89,44,28,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,27,1,2
09CH9165-000-2019,2019,Region 9,MP,CNMI Public School System,09CH9165,CH,CNMI Public School System,000,HS,422,422,298,0,0,0,152,270,0,0,377,6,1,8,30,0,0,157,0,245,2,18,0,54,0,3,3,0,19,NA,0,329,380,422,422,307,412,51,NA,0,0,0,2,1,0,0,0,12,0,36,0,0,9,8,1
09HP0029-200-2019,2019,Region 9,MP,CNMI Public School System,09HP0029,HP,CNMI Public School System,200,EHS,77,77,38,15,31,31,0,0,0,0,65,1,0,6,5,0,0,22,0,46,0,9,0,31,0,4,4,0,NA,16,3,37,75,77,75,77,75,0,9,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0
09CH010710-001-2019,2019,Region 9,NV,"Acelero, Inc.",09CH010710,CH,Acelero Learning Clark County,001,HS,2110,2110,1517,0,0,214,904,992,0,0,1129,307,40,418,92,124,862,32,936,16,142,75,23,354,0,87,87,0,81,NA,21,2054,2061,2037,2107,420,1510,198,NA,1,0,43,0,0,1,0,0,4,0,128,21,0,1282,215,50
09CH010731-200-2019,2019,Region 9,NV,Sunrise Children's Foundation,09CH010731,CH,Sunrise Children`s Foundation,200,EHS,450,411,211,119,159,133,0,0,0,39,349,34,23,26,18,0,194,6,144,4,42,41,14,109,0,32,32,0,NA,45,6,397,399,394,397,309,298,NA,61,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,153,19,25
09CH10018-000-2019,2019,Region 9,NV,Little People's Head Start,09CH10018,CH,Little People's Head Start,000,HS,64,64,64,0,0,9,23,31,1,0,32,1,2,8,7,14,20,0,1,1,38,1,1,18,0,1,1,0,4,NA,0,61,62,51,60,3,27,11,NA,1,0,7,0,0,0,0,0,2,0,1,0,0,64,9,4
09CH10018-200-2019,2019,Region 9,NV,Little People's Head Start,09CH10018,CH,Little People's Head Start,200,EHS,52,52,25,13,20,19,0,0,0,0,33,0,2,4,2,11,17,0,2,1,26,1,0,22,2,2,2,0,NA,10,1,51,52,48,51,47,49,NA,6,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,25,6,3
09CH9167-200-2019,2019,Region 9,NV,"Board of Regents, University of Nevada, Reno",09CH9167,CH,"Board of Regents - University of Nevada, Reno",200,EHS,280,245,109,107,65,71,2,0,0,35,202,24,23,31,0,0,173,2,19,1,61,16,0,39,6,5,5,0,NA,35,5,241,243,240,244,157,199,NA,49,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,67,75,36
